ccn,location,latitude,longitude,block,offensekey,offensegroup,method,offense,sector,start_date,end_date,shift,year,neighborhood_cluster,psa,census_tract,ward,bid,district,ucr-rank,voting_precinct
25013418,"38.8966558827,-76.9476475094",38.89665588,-76.94764751,4000 - 4121 block of minnesota avenue ne,violent|assault w/dangerous weapon,violent,gun,assault w/dangerous weapon,6D1,28-01-2025,28-01-2025,evening,2025,cluster 30,602,7803,7,Unknown,6,3,precinct 99
25014626,"38.8764742324,-76.9932172037",38.87647423,-76.9932172,900 - 999 block of m street se,violent|homicide,violent,gun,homicide,1D3,30-01-2025,30-01-2025,midnight,2025,cluster 27,106,7203,8,capitol riverfront,1,1,precinct 131
25018239,"38.9072424615,-77.0441670329",38.90724246,-77.04416703,1900 - 1999 block of n street nw,property|theft f/auto,property,others,theft f/auto,2D3,06-02-2025,07-02-2025,evening,2025,cluster 6,208,10700,2,golden triangle,2,7,precinct 17
25018476,"38.917236462,-77.0229457261",38.91723646,-77.02294573,2000 - 2099 block of 8th street nw,property|theft/other,property,others,theft/other,3D2,07-02-2025,07-02-2025,evening,2025,cluster 3,305,3500,1,Unknown,3,6,precinct 37
25009503,"38.9548750107,-76.9886109526",38.95487501,-76.98861095,5100 - 5199 block of eastern avenue ne,property|motor vehicle theft,property,others,motor vehicle theft,4D2,20-01-2025,20-01-2025,evening,2025,cluster 19,406,9508,5,Unknown,4,8,precinct 66
25010268,"38.9209329952,-76.9971570051",38.920933,-76.99715701,500 - 799 block of rhode island avenue ne,property|theft f/auto,property,others,theft f/auto,5D1,18-01-2025,18-01-2025,day,2025,cluster 21,502,9204,5,Unknown,5,7,precinct 74
25009307,"38.9462882923,-77.0955537318",38.94628829,-77.09555373,4800 - 4899 block of yuma street nw,property|theft f/auto,property,others,theft f/auto,2D1,20-01-2025,20-01-2025,day,2025,cluster 11,202,1003,3,Unknown,2,7,precinct 30
25005046,"38.8429895422,-76.9899231548",38.84298954,-76.98992315,1200 - 1221 block of savannah street se,violent|robbery,violent,gun,robbery,7D2,11-01-2025,11-01-2025,midnight,2025,cluster 39,705,7304,8,Unknown,7,4,precinct 120
25003779,"38.9109647044,-76.9872478586",38.9109647,-76.98724786,mount olivet road ne and corcoran street ne,property|theft f/auto,property,others,theft f/auto,5D3,31-12-2024,31-12-2024,day,2025,cluster 23,506,8803,5,Unknown,5,7,precinct 76
25020137,"38.9372359858,-76.9769847453",38.93723599,-76.97698475,1900 - 1999 block of quincy street ne,property|motor vehicle theft,property,others,motor vehicle theft,5D2,09-02-2025,10-02-2025,evening,2025,cluster 24,503,9400,5,Unknown,5,8,precinct 69
