latitude,block,offensegroup,location,sector,method,ccn,end_date,longitude,neighborhood_cluster,shift,psa,census_tract,ward,bid,district,year,report_dat,ucr-rank,offensekey,start_date,voting_precinct,offense
38.92236334,200 - 299 block of channing street ne,property,"38.9223633385,-77.0027692484",5D1,others,25023597,17-02-2025,-77.00276925,cluster 21,evening,502.0,9203.0,5.0,Unknown,5.0,2025,"2/17/2025, 7:23:40 PM",8,property|motor vehicle theft,17-02-2025,precinct 74,motor vehicle theft
38.94274871,4200 - 4299 block of 2nd street nw,property,"38.9427487053,-77.0138398196",4D2,others,25420252,15-01-2025,-77.01383982,cluster 18,day,407.0,2301.0,4.0,Unknown,4.0,2025,"1/17/2025, 12:32:31 PM",7,property|theft f/auto,15-01-2025,precinct 46,theft f/auto
38.91176758,104 - 1599 block of harry thomas way ne,violent,"38.9117675751,-77.002035177",5D1,gun,25001544,03-01-2025,-77.00203518,cluster 21,evening,502.0,8702.0,5.0,noma,5.0,2025,"1/3/2025, 10:53:30 PM",3,violent|assault w/dangerous weapon,03-01-2025,precinct 75,assault w/dangerous weapon
38.8935443,3900 - 3928 block of minnesota avenue ne,property,"38.8935443043,-76.95033389",6D3,others,25003356,08-01-2025,-76.95033389,cluster 32,day,603.0,9603.0,7.0,Unknown,6.0,2025,"1/8/2025, 12:15:09 PM",6,property|theft/other,08-01-2025,precinct 102,theft/other
38.9001987,1300 - 1399 block of h street ne,property,"38.9001986979,-76.9869062421",1D2,others,25004668,11-01-2025,-76.98690624,cluster 25,midnight,104.0,8402.0,6.0,Unknown,1.0,2025,"1/11/2025, 2:59:08 AM",7,property|theft f/auto,10-01-2025,precinct 82,theft f/auto
38.97528887,7000 - 7099 block of blair road nw,property,"38.975288865,-77.0190496939",4D1,others,25010077,22-01-2025,-77.01904969,cluster 17,day,401.0,1702.0,4.0,Unknown,4.0,2025,"1/22/2025, 7:59:55 AM",7,property|theft f/auto,22-01-2025,precinct 63,theft f/auto
38.91693508,1 - 21 block of rhode island avenue ne,property,"38.916935082,-77.0086789853",5D1,others,25011622,25-01-2025,-77.00867899,cluster 21,day,502.0,8701.0,5.0,Unknown,5.0,2025,"1/25/2025, 7:30:10 AM",8,property|motor vehicle theft,25-01-2025,precinct 75,motor vehicle theft
38.84449218,1200 - 1299 block of alabama avenue se,violent,"38.844492179,-76.9895490639",7D1,gun,25015084,31-01-2025,-76.98954906,cluster 43,midnight,703.0,7404.0,8.0,Unknown,7.0,2025,"1/31/2025, 11:10:55 PM",4,violent|robbery,31-01-2025,precinct 119,robbery
38.89414323,300 - 399 block of 15th street ne,violent,"38.8941432256,-76.9836457191",5D3,gun,25015753,02-02-2025,-76.98364572,cluster 25,midnight,507.0,7901.0,7.0,Unknown,5.0,2025,"2/2/2025, 5:38:41 AM",4,violent|robbery,02-02-2025,precinct 81,robbery
38.89783287,600 - 699 block of 11th street nw,property,"38.8978328702,-77.0270341747",2D3,others,25016624,03-02-2025,-77.02703417,cluster 8,evening,209.0,5802.0,2.0,downtown,2.0,2025,"2/3/2025, 7:48:13 PM",6,property|theft/other,03-02-2025,precinct 129,theft/other
38.90670795,1500 - 1549 block of massachusetts avenue nw,property,"38.9067079493,-77.0349991964",2D3,others,25020546,11-02-2025,-77.0349992,cluster 6,evening,208.0,10100.0,2.0,downtown,2.0,2025,"2/11/2025, 5:10:27 PM",7,property|theft f/auto,11-02-2025,precinct 17,theft f/auto
38.89783287,600 - 699 block of 11th street nw,property,"38.8978328702,-77.0270341747",2D3,others,25020955,12-02-2025,-77.02703417,cluster 8,evening,209.0,5802.0,2.0,downtown,2.0,2025,"2/12/2025, 3:24:30 PM",6,property|theft/other,12-02-2025,precinct 129,theft/other
38.93459438,700 - 799 block of otis place nw,property,"38.9345943775,-77.023089487",4D3,others,25021444,02-03-2025,-77.02308949,cluster 2,day,409.0,3200.0,1.0,Unknown,4.0,2025,"2/13/2025, 2:32:42 PM",8,property|motor vehicle theft,13-02-2025,precinct 43,motor vehicle theft
38.90543809,1 - 1 block of thomas circle nw,property,"38.9054380874,-77.0323418139",2D3,others,25024366,19-02-2025,-77.03234181,cluster 8,day,207.0,10100.0,2.0,downtown,2.0,2025,"2/19/2025, 10:38:39 AM",6,property|theft/other,19-02-2025,precinct 17,theft/other
38.87179159,2200 - 2299 block of minnesota avenue se,violent,"38.8717915923,-76.9740898528",6D2,gun,25000057,01-01-2025,-76.97408985,cluster 34,midnight,607.0,7601.0,8.0,Unknown,6.0,2025,"1/1/2025, 2:39:16 AM",3,violent|assault w/dangerous weapon,01-01-2025,precinct 133,assault w/dangerous weapon
38.90506785,1100 - 1199 block of neal street ne,property,"38.9050678489,-76.9901172157",5D3,others,25001462,04-01-2025,-76.99011722,cluster 23,evening,506.0,8802.0,5.0,Unknown,5.0,2025,"1/3/2025, 7:16:44 PM",6,property|theft/other,03-01-2025,precinct 77,theft/other
